0,35,35,0,0,0,230,0,0,0
2,35,17,1,7,0,202,10,0,74
4,55,20,0,19,149,159,10,0,25
6,25,30,0,3,0,208,10,0,96
8,10,43,1,-12,95,105,10,18,0
11,20,65,1,12,67,77,10,0,31
12,50,35,0,19,0,205,10,0,79
14,15,10,1,20,0,187,10,0,44
17,5,30,1,2,0,189,10,0,45
18,20,40,1,12,0,204,10,0,8
20,45,65,0,9,0,188,10,0,35
21,45,20,0,11,0,201,10,0,54
25,65,20,0,-19,172,182,10,4,0
31,31,52,0,-12,0,202,10,11,0
35,63,65,0,-9,0,178,10,20,0
44,11,14,0,-20,114,124,10,14,0
45,6,38,0,-2,0,190,10,17,0
54,57,29,0,-11,0,197,10,21,0
74,46,13,1,-7,149,159,10,2,0
79,57,48,0,-19,92,102,10,12,0
96,22,27,1,-3,0,204,10,6,0
