0,70,70,0,0,0,2535,0,0,0
1,101,0,0,9,1973,2130,10,0,172
9,107,25,0,13,1133,1176,10,0,71
10,17,138,1,-20,0,2439,10,28,0
11,37,138,0,-11,0,2450,10,35,0
12,20,69,1,-20,0,2475,10,91,0
13,121,123,0,-9,0,2452,10,80,0
17,46,112,0,10,1133,1274,10,0,153
18,79,72,1,22,0,2516,10,0,167
19,104,32,0,-36,0,2475,10,43,0
20,8,87,1,17,1615,1714,10,0,164
21,109,139,0,8,469,555,10,0,57
22,80,103,0,15,1484,1613,10,0,171
23,78,63,0,-6,0,2515,10,47,0
24,95,135,1,27,0,2456,10,0,199
26,64,132,1,8,0,2463,10,0,82
28,39,13,1,20,0,2461,10,0,10
29,120,14,0,-13,0,2450,10,61,0
31,140,42,1,13,0,2450,10,0,72
33,42,29,0,-21,0,2476,10,87,0
34,44,58,1,-15,0,2497,10,45,0
35,32,6,1,11,401,479,10,0,11
36,41,36,1,-19,0,2481,10,74,0
37,106,10,0,-9,0,2456,10,65,0
41,81,57,0,8,33,104,10,0,143
42,120,52,1,20,0,2472,10,0,75
43,113,32,1,36,0,2468,10,0,19
45,82,103,1,15,0,2490,10,0,34
47,90,44,0,6,0,2493,10,0,23
48,139,73,0,-34,0,2456,10,60,0
50,64,138,0,15,0,2457,10,0,104
51,98,4,0,-39,0,2454,10,88,0
54,13,48,0,15,0,2464,10,0,93
55,84,88,1,16,0,2503,10,0,78
57,69,115,0,-8,0,2480,10,21,0
59,105,2,0,1,0,2449,10,0,81
60,107,77,0,34,0,2488,10,0,48
61,104,54,1,13,208,333,10,0,29
62,54,33,0,20,118,204,10,0,97
64,37,125,1,10,0,2461,10,0,163
65,99,34,1,9,0,2479,10,0,37
66,38,122,0,13,941,1052,10,0,133
67,85,75,1,37,0,2510,10,0,102
70,47,83,1,1,0,2499,10,0,94
71,139,68,1,-13,0,2456,10,9,0
72,88,29,0,-13,0,2481,10,31,0
73,39,100,1,31,0,2482,10,0,121
74,48,47,0,19,94,161,10,0,36
75,104,73,0,-20,0,2491,10,42,0
77,103,44,0,12,0,2483,10,0,112
78,73,96,0,-16,0,2499,10,55,0
80,71,70,1,9,0,2524,10,0,13
81,83,12,0,-1,0,2466,10,59,0
82,36,54,0,-8,1482,1614,10,26,0
83,16,92,1,10,0,2467,10,0,165
84,56,139,0,18,0,2455,10,0,108
85,27,104,0,1,0,2471,10,0,98
87,34,72,0,21,0,2489,10,0,33
88,120,22,0,39,440,591,10,0,51
91,33,117,1,20,0,2466,10,0,12
92,102,52,1,15,0,2489,10,0,120
93,13,129,0,-15,0,2443,10,54,0
94,34,20,1,-1,0,2464,10,70,0
97,33,0,0,-20,0,2446,10,62,0
98,18,104,0,-1,1350,1463,10,85,0
102,109,78,1,-37,0,2486,10,67,0
104,27,46,0,-15,0,2476,10,50,0
108,15,18,0,-18,0,2450,10,84,0
112,123,84,0,-12,0,2471,10,77,0
120,92,22,0,-15,0,2473,10,92,0
121,2,106,0,-31,1541,1673,10,73,0
133,50,112,1,-13,0,2479,10,66,0
143,120,47,0,-8,0,2470,10,41,0
153,35,90,0,-10,0,2485,10,17,0
163,54,78,1,-10,0,2508,10,64,0
164,65,80,0,-17,0,2514,10,20,0
165,28,62,0,-10,0,2483,10,83,0
167,137,84,0,-22,0,2457,10,18,0
171,66,82,0,-15,0,2513,10,22,0
172,97,12,0,-9,0,2462,10,1,0
199,81,36,1,-27,0,2490,10,24,0
