group;instname;tw_shift;cap_incr
06R_06V_02F_04M;lr201;0.0035;0
06R_06V_02F_04M;lr202;0;0
06R_06V_02F_04M;lr203;0;0
06R_06V_02F_04M;lr204;0;0
06R_06V_02F_04M;lr205;0;0
06R_06V_04F_04M;lr201;0.0064;0
06R_06V_04F_04M;lr202;0;0
06R_06V_04F_04M;lr203;0;0
06R_06V_04F_04M;lr204;0;0
06R_06V_04F_04M;lr205;0;0
08R_08V_02F_04M;lr201;0;0
08R_08V_02F_04M;lr202;0;0
08R_08V_02F_04M;lr203;0;0
08R_08V_02F_04M;lr204;0;0
08R_08V_02F_04M;lr205;0;0
08R_08V_04F_04M;lr201;0.0035;0
08R_08V_04F_04M;lr202;0;0
08R_08V_04F_04M;lr203;0;0
08R_08V_04F_04M;lr204;0;0
08R_08V_04F_04M;lr205;0;0
10R_10V_02F_04M;lr201;0.0023;0
10R_10V_02F_04M;lr202;0;0
10R_10V_02F_04M;lr203;0;0
10R_10V_02F_04M;lr204;0;0
10R_10V_02F_04M;lr205;0;0
10R_10V_04F_04M;lr201;0.0089;0
10R_10V_04F_04M;lr202;0;0
10R_10V_04F_04M;lr203;0;0
10R_10V_04F_04M;lr204;0;0
10R_10V_04F_04M;lr205;6e-4;0.0209
12R_12V_02F_04M;lr201;0;0
12R_12V_02F_04M;lr202;0;0
12R_12V_02F_04M;lr203;0;0
12R_12V_02F_04M;lr204;0;0
12R_12V_02F_04M;lr205;4e-4;0.0174
12R_12V_04F_04M;lr201;0.0058;0
12R_12V_04F_04M;lr202;0;0
12R_12V_04F_04M;lr203;0;0
12R_12V_04F_04M;lr204;0;0
12R_12V_04F_04M;lr205;4e-4;0.0174
