0,35,35,0,0,0,230,0,0,0
3,55,45,2,13,0,197,10,0,77
5,15,30,1,26,0,199,10,0,60
6,25,30,1,3,89,119,10,0,89
8,10,43,3,9,85,115,10,0,17
9,55,60,1,16,87,117,10,0,35
15,30,5,1,8,51,81,10,0,87
17,5,30,2,-9,147,177,10,8,0
19,15,60,3,17,66,96,10,0,82
21,45,20,1,11,0,201,10,0,67
22,45,10,0,-17,87,117,10,26,0
26,45,30,2,17,0,208,10,0,22
28,41,37,0,16,29,59,10,0,73
35,63,65,1,-16,133,163,10,9,0
60,17,34,0,-26,152,182,10,5,0
67,67,5,2,-11,73,103,10,21,0
73,44,17,0,-16,68,98,10,28,0
77,53,43,0,-13,169,199,10,3,0
82,15,47,3,-17,0,196,10,19,0
87,28,18,3,-8,83,113,10,15,0
89,26,35,2,-3,166,196,10,6,0
