group;instname;tw_shift;cap_incr
40R_40V_02I_06M;LR1_2_1;0.0814;0.0062
40R_40V_02I_06M;LR1_2_2;0.151;0.0125
40R_40V_02I_06M;LR1_2_3;0.0376;0
40R_40V_02I_06M;LR1_2_4;0.0366;0
40R_40V_02I_06M;LR1_2_5;0.2802;0.0121
40R_40V_04I_06M;LR1_2_1;0.1697;0.0062
40R_40V_04I_06M;LR1_2_2;0.0644;0.0125
40R_40V_04I_06M;LR1_2_3;0.0144;0.0121
40R_40V_04I_06M;LR1_2_4;0.0028;0
40R_40V_04I_06M;LR1_2_5;0.0345;0.006
60R_60V_02I_06M;LR1_2_1;0.1714;0.0125
60R_60V_02I_06M;LR1_2_2;0.0086;0
60R_60V_02I_06M;LR1_2_3;0.5221;0.0113
60R_60V_02I_06M;LR1_2_4;0.0096;0
60R_60V_02I_06M;LR1_2_5;0.0014;0
60R_60V_04I_06M;LR1_2_1;0.5469;0.0242
60R_60V_04I_06M;LR1_2_2;0.4413;0.0158
60R_60V_04I_06M;LR1_2_3;0.2094;0.004
60R_60V_04I_06M;LR1_2_4;0.0578;0.004
60R_60V_04I_06M;LR1_2_5;0.0738;0.004
